Cuenta Usuario,Nombre Usuario,direccion,telefono,email,Sex,Edad,Codigo Pais
50000001,Nagatomo Naruto,,7658433,NagaNaruto@yahoo.jp,Hombre,19,13.00
50000002,James Ruskin,"(California, San Jose 34)",,James_Ruskin@gmail.com,Hombre,49,1.00
50000003,Jackie Chan,,55432105,J_chan@tencent.ch,Hombre,18,2.00
50000004,Bruce Lee,,12947471,Bruce_leeeee@hotmail.com,Hombre,51,2.00
50000005,Arturo Gomez,,,agomez@gmail.es,Hombre,38,6.00
50000006,Macarena Garcia,,67431209,maca_garcia@yahoo.es,Mujer,28,6.00
50000007,Thomas Muller,,64823834,Tmuller@yahoo.de,Hombre,34,4.00
50000008,Sven Vath,,94744848,Sven_Vath@yahoo.com,Hombre,52,4.00
50000009,Ronaldo Nazrio,,,Ronaldo9@yahoo.com,Hombre,45,11.00
50000010,Gretha Anderson,,64564737,gand98@gmail.com,Mujer,20,12.00
50000011,Amelie Lens,,93283373,amelie_l@yahoo.fr,Mujer,25,8.00
50000012,Varya Karpova,,,vkarpova@yahoo.ru,Mujer,24,7.00
50000013,Chloe Leroy,,46464474,Leroy_chloe@yahoo.com,Mujer,29,8.00
50000014,Joey Delaney,,35346536,JoeyyD@gmail.com,Hombre,30,3.00
50000015,Thomas Mctominay,,54634637,tmctominay@gmail.com,Hombre,16,1.00
50000016,Lydia Ritchie,,26373474,LydiaRi@yahoo.com,Mujer,28,1.00
50000017,Martyna Bjork,,54464646,Martyna944@gmail.com,Mujer,14,5.00
50000018,Xi Jinping,,56336636,XiiJinPP@tencent.ch,Hombre,63,2.00
50000019,Vladimir Putin,,,VladimirPutin@gmail.com,Hombre,68,7.00
